date,A,B,C,D,E,F,G,H,I,J
20-Jul-2019,10,20,16,8,19,18,12,9,10,15
21-Jul-2019,11,22,18,10,21,22,11,9,12,15
22-Jul-2019,13,19,21,11,22,20,8,10,12,17
23-Jul-2019,11,17,22,15,23,19,10,9,14,16
24-Jul-2019,15,16,20,12,24,22,11,13,15,16
25-Jul-2019,16,19,18,11,22,22,13,13,14,16
26-Jul-2019,19,21,18,10,25,23,14,14,16,14
27-Jul-2019,22,25,15,14,27,23,15,12,17,15
28-Jul-2019,18,24,12,14,25,20,14,10,18,16
29-Jul-2019,14,20,16,17,27,17,14,12,17,18
30-Jul-2019,14,18,18,14,28,17,14,8,19,17
31-Jul-2019,16,18,21,13,30,15,15,7,22,20
01-Aug-2019,15,20,22,12,28,16,13,7,20,19
02-Aug-2019,12,21,19,10,28,17,14,8,20,22