month,year,location,new_deaths,new_vaccinations,ratio
1,2020,Cambodia,0.0,0.0,0.00000
1,2020,China,196.0,0.0,0.00000
1,2020,Hong Kong,0.0,0.0,0.00000
1,2020,India,0.0,0.0,0.00000
1,2020,Japan,0.0,0.0,0.00000
1,2020,Macao,0.0,0.0,0.00000
1,2020,Malaysia,0.0,0.0,0.00000
1,2020,Nepal,0.0,0.0,0.00000
1,2020,Philippines,0.0,0.0,0.00000
1,2020,Singapore,0.0,0.0,0.00000
1,2020,South Korea,0.0,0.0,0.00000
1,2020,Sri Lanka,0.0,0.0,0.00000
1,2020,Taiwan,0.0,0.0,0.00000
1,2020,Thailand,0.0,0.0,0.00000
1,2020,United Arab Emirates,0.0,0.0,0.00000
1,2020,Vietnam,0.0,0.0,0.00000
1,2021,Afghanistan,211.0,0.0,0.00000
1,2021,Armenia,257.0,0.0,0.00000
1,2021,Azerbaijan,491.0,0.0,0.00000
1,2021,Bahrain,23.0,39133.0,0.00059
1,2021,Bangladesh,568.0,567.0,1.00176
1,2021,Bhutan,1.0,0.0,0.00000
1,2021,Brunei,0.0,0.0,0.00000
1,2021,Cambodia,0.0,0.0,0.00000
1,2021,China,46.0,0.0,0.00000
1,2021,Georgia,673.0,0.0,0.00000
1,2021,Hong Kong,33.0,0.0,0.00000
1,2021,India,5398.0,3758843.0,0.00144
1,2021,Indonesia,7860.0,366439.0,0.02145
1,2021,Iran,2736.0,0.0,0.00000
1,2021,Iraq,234.0,0.0,0.00000
1,2021,Israel,1471.0,3973152.0,0.00037
1,2021,Japan,2261.0,0.0,0.00000
1,2021,Jordan,482.0,0.0,0.00000
1,2021,Kazakhstan,377.0,0.0,0.00000
1,2021,Kuwait,25.0,0.0,0.00000
1,2021,Kyrgyzstan,57.0,0.0,0.00000
1,2021,Laos,0.0,0.0,0.00000
1,2021,Lebanon,1614.0,0.0,0.00000
1,2021,Macao,0.0,0.0,0.00000
1,2021,Malaysia,289.0,0.0,0.00000
1,2021,Maldives,4.0,0.0,0.00000
1,2021,Mongolia,1.0,0.0,0.00000
1,2021,Myanmar,449.0,3800.0,0.11816
1,2021,Nepal,173.0,0.0,0.00000
1,2021,North Korea,0.0,0.0,0.00000
1,2021,Northern Cyprus,0.0,0.0,0.00000
1,2021,Oman,30.0,28118.0,0.00107
1,2021,Pakistan,1507.0,0.0,0.00000
1,2021,Palestine,433.0,0.0,0.00000
1,2021,Philippines,1505.0,0.0,0.00000
1,2021,Qatar,3.0,0.0,0.00000
1,2021,Saudi Arabia,152.0,0.0,0.00000
1,2021,Singapore,0.0,153794.0,0.00000
1,2021,South Korea,508.0,0.0,0.00000
1,2021,Sri Lanka,112.0,59154.0,0.00189
1,2021,Syria,210.0,0.0,0.00000
1,2021,Taiwan,1.0,0.0,0.00000
1,2021,Tajikistan,1.0,0.0,0.00000
1,2021,Thailand,16.0,0.0,0.00000
1,2021,Timor,0.0,0.0,0.00000
1,2021,Turkey,5112.0,1986237.0,0.00257
1,2021,United Arab Emirates,181.0,2446465.0,0.00007
1,2021,Uzbekistan,7.0,0.0,0.00000
1,2021,Vietnam,0.0,0.0,0.00000
1,2021,Yemen,5.0,0.0,0.00000
1,2022,Afghanistan,58.0,6868.0,0.00844
1,2022,Armenia,81.0,0.0,0.00000
1,2022,Azerbaijan,376.0,598612.0,0.00063
1,2022,Bahrain,14.0,130816.0,0.00011
1,2022,Bangladesh,322.0,14576165.0,0.00002
1,2022,Bhutan,1.0,0.0,0.00000
1,2022,Brunei,0.0,0.0,0.00000
1,2022,Cambodia,3.0,2439154.0,0.00000
1,2022,China,16.0,165200000.0,0.00000
1,2022,Georgia,1130.0,157522.0,0.00717
1,2022,Hong Kong,0.0,1200133.0,0.00000
1,2022,India,14756.0,215920616.0,0.00007
1,2022,Indonesia,226.0,0.0,0.00000
1,2022,Iran,848.0,4977469.0,0.00017
1,2022,Iraq,231.0,0.0,0.00000
1,2022,Israel,562.0,1142545.0,0.00049
1,2022,Japan,423.0,6008119.0,0.00007
1,2022,Jordan,564.0,0.0,0.00000
1,2022,Kazakhstan,297.0,398986.0,0.00074
1,2022,Kuwait,29.0,19007.0,0.00153
1,2022,Kyrgyzstan,78.0,222981.0,0.00035
1,2022,Laos,175.0,0.0,0.00000
1,2022,Lebanon,487.0,522600.0,0.00093
1,2022,Macao,0.0,59678.0,0.00000
1,2022,Malaysia,491.0,5879617.0,0.00008
1,2022,Maldives,14.0,26637.0,0.00053
1,2022,Mongolia,50.0,91296.0,0.00055
1,2022,Myanmar,42.0,0.0,0.00000
1,2022,Nepal,149.0,0.0,0.00000
1,2022,North Korea,0.0,0.0,0.00000
1,2022,Northern Cyprus,0.0,0.0,0.00000
1,2022,Oman,30.0,0.0,0.00000
1,2022,Pakistan,368.0,8592348.0,0.00004
1,2022,Palestine,179.0,0.0,0.00000
1,2022,Philippines,2499.0,9740148.0,0.00026
1,2022,Qatar,27.0,446510.0,0.00006
1,2022,Saudi Arabia,63.0,4960918.0,0.00001
1,2022,Singapore,27.0,1211186.0,0.00002
1,2022,South Korea,1147.0,10648470.0,0.00011
1,2022,Sri Lanka,462.0,1481046.0,0.00031
1,2022,Syria,92.0,0.0,0.00000
1,2022,Taiwan,1.0,4518567.0,0.00000
1,2022,Tajikistan,0.0,0.0,0.00000
1,2022,Thailand,475.0,11589116.0,0.00004
1,2022,Timor,0.0,0.0,0.00000
1,2022,Turkey,5055.0,9038434.0,0.00056
1,2022,Turkmenistan,0.0,0.0,0.00000
1,2022,United Arab Emirates,79.0,604828.0,0.00013
1,2022,Uzbekistan,79.0,448984.0,0.00018
1,2022,Vietnam,5383.0,6448448.0,0.00083
1,2022,Yemen,28.0,0.0,0.00000
2,2020,Afghanistan,0.0,0.0,0.00000
2,2020,Armenia,0.0,0.0,0.00000
2,2020,Bahrain,0.0,0.0,0.00000
2,2020,Cambodia,0.0,0.0,0.00000
2,2020,China,2622.0,0.0,0.00000
2,2020,Georgia,0.0,0.0,0.00000
2,2020,Hong Kong,2.0,0.0,0.00000
2,2020,India,0.0,0.0,0.00000
2,2020,Iran,43.0,0.0,0.00000
2,2020,Iraq,0.0,0.0,0.00000
2,2020,Israel,0.0,0.0,0.00000
2,2020,Japan,6.0,0.0,0.00000
2,2020,Kuwait,0.0,0.0,0.00000
2,2020,Lebanon,0.0,0.0,0.00000
2,2020,Macao,0.0,0.0,0.00000
2,2020,Malaysia,0.0,0.0,0.00000
2,2020,Nepal,0.0,0.0,0.00000
2,2020,Oman,0.0,0.0,0.00000
2,2020,Pakistan,0.0,0.0,0.00000
2,2020,Philippines,1.0,0.0,0.00000
2,2020,Qatar,0.0,0.0,0.00000
2,2020,Singapore,0.0,0.0,0.00000
2,2020,South Korea,16.0,0.0,0.00000
2,2020,Sri Lanka,0.0,0.0,0.00000
2,2020,Taiwan,1.0,0.0,0.00000
2,2020,Thailand,0.0,0.0,0.00000
2,2020,United Arab Emirates,0.0,0.0,0.00000
2,2020,Vietnam,0.0,0.0,0.00000
2,2021,Afghanistan,43.0,0.0,0.00000
2,2021,Armenia,112.0,0.0,0.00000
2,2021,Azerbaijan,88.0,0.0,0.00000
2,2021,Bahrain,74.0,0.0,0.00000
2,2021,Bangladesh,281.0,1938619.0,0.00014
2,2021,Bhutan,0.0,0.0,0.00000
2,2021,Brunei,0.0,0.0,0.00000
2,2021,Cambodia,0.0,50599.0,0.00000
2,2021,China,31.0,0.0,0.00000
2,2021,Georgia,332.0,0.0,0.00000
2,2021,Hong Kong,18.0,14587.0,0.00123
2,2021,India,2765.0,10078106.0,0.00027
2,2021,Indonesia,6168.0,1789566.0,0.00345
2,2021,Iran,2114.0,3000.0,0.70467
2,2021,Iraq,359.0,0.0,0.00000
2,2021,Israel,956.0,3173248.0,0.00030
2,2021,Japan,2144.0,15556.0,0.13782
2,2021,Jordan,385.0,0.0,0.00000
2,2021,Kazakhstan,263.0,0.0,0.00000
2,2021,Kuwait,124.0,0.0,0.00000
2,2021,Kyrgyzstan,54.0,0.0,0.00000
2,2021,Laos,0.0,0.0,0.00000
2,2021,Lebanon,1610.0,30289.0,0.05315
2,2021,Macao,0.0,3293.0,0.00000
2,2021,Malaysia,375.0,18710.0,0.02004
2,2021,Maldives,10.0,104574.0,0.00010
2,2021,Mongolia,0.0,3696.0,0.00000
2,2021,Myanmar,69.0,0.0,0.00000
2,2021,Nepal,745.0,0.0,0.00000
2,2021,North Korea,0.0,0.0,0.00000
2,2021,Northern Cyprus,0.0,0.0,0.00000
2,2021,Oman,41.0,28514.0,0.00144
2,2021,Pakistan,1213.0,0.0,0.00000
2,2021,Palestine,209.0,0.0,0.00000
2,2021,Philippines,1569.0,0.0,0.00000
2,2021,Qatar,10.0,0.0,0.00000
2,2021,Saudi Arabia,119.0,0.0,0.00000
2,2021,Singapore,0.0,345619.0,0.00000
2,2021,South Korea,180.0,3108.0,0.05792
2,2021,Sri Lanka,148.0,394032.0,0.00038
2,2021,Syria,106.0,0.0,0.00000
2,2021,Taiwan,1.0,0.0,0.00000
2,2021,Tajikistan,0.0,0.0,0.00000
2,2021,Thailand,6.0,0.0,0.00000
2,2021,Timor,0.0,0.0,0.00000
2,2021,Turkey,2576.0,6561638.0,0.00039
2,2021,Turkmenistan,0.0,0.0,0.00000
2,2021,United Arab Emirates,371.0,2686299.0,0.00014
2,2021,Uzbekistan,1.0,0.0,0.00000
2,2021,Vietnam,0.0,0.0,0.00000
2,2021,Yemen,19.0,0.0,0.00000
2,2022,Afghanistan,184.0,0.0,0.00000
2,2022,Armenia,408.0,0.0,0.00000
2,2022,Azerbaijan,683.0,687123.0,0.00099
2,2022,Bahrain,46.0,18344.0,0.00251
2,2022,Bangladesh,643.0,3913910.0,0.00016
2,2022,Bhutan,2.0,0.0,0.00000
2,2022,Brunei,27.0,0.0,0.00000
2,2022,Cambodia,17.0,1882549.0,0.00001
2,2022,China,5.0,129313000.0,0.00000
2,2022,Georgia,1183.0,71904.0,0.01645
2,2022,Hong Kong,531.0,1988710.0,0.00027
2,2022,India,17781.0,110392609.0,0.00016
2,2022,Indonesia,4015.0,20173897.0,0.00020
2,2022,Iran,4384.0,8482147.0,0.00052
2,2022,Iraq,600.0,0.0,0.00000
2,2022,Israel,1393.0,129484.0,0.01076
2,2022,Japan,4855.0,23966403.0,0.00020
2,2022,Jordan,618.0,0.0,0.00000
2,2022,Kazakhstan,429.0,2873628.0,0.00015
2,2022,Kuwait,41.0,0.0,0.00000
2,2022,Kyrgyzstan,78.0,240144.0,0.00032
2,2022,Laos,74.0,11615.0,0.00637
2,2022,Lebanon,485.0,274041.0,0.00177
2,2022,Macao,0.0,43834.0,0.00000
2,2022,Malaysia,771.0,3642722.0,0.00021
2,2022,Maldives,21.0,34281.0,0.00061
2,2022,Mongolia,60.0,7913.0,0.00758
2,2022,Myanmar,58.0,0.0,0.00000
2,2022,Nepal,193.0,379020.0,0.00051
2,2022,North Korea,0.0,0.0,0.00000
2,2022,Northern Cyprus,0.0,0.0,0.00000
2,2022,Oman,98.0,0.0,0.00000
2,2022,Pakistan,895.0,15764829.0,0.00006
2,2022,Palestine,403.0,0.0,0.00000
2,2022,Philippines,2448.0,665586.0,0.00368
2,2022,Qatar,25.0,411315.0,0.00006
2,2022,Saudi Arabia,58.0,3625564.0,0.00002
2,2022,Singapore,164.0,717466.0,0.00023
2,2022,South Korea,1398.0,4755892.0,0.00029
2,2022,Sri Lanka,781.0,1936144.0,0.00040
2,2022,Syria,86.0,0.0,0.00000
2,2022,Taiwan,2.0,3980175.0,0.00000
2,2022,Tajikistan,0.0,0.0,0.00000
2,2022,Thailand,760.0,7090988.0,0.00011
2,2022,Timor,6.0,0.0,0.00000
2,2022,Turkey,7029.0,3649842.0,0.00193
2,2022,Turkmenistan,0.0,0.0,0.00000
2,2022,United Arab Emirates,58.0,491876.0,0.00012
2,2022,Uzbekistan,71.0,0.0,0.00000
2,2022,Vietnam,2475.0,5957496.0,0.00042
2,2022,Yemen,123.0,0.0,0.00000
3,2020,Afghanistan,4.0,0.0,0.00000
3,2020,Armenia,3.0,0.0,0.00000
3,2020,Azerbaijan,5.0,0.0,0.00000
3,2020,Bahrain,4.0,0.0,0.00000
3,2020,Bangladesh,5.0,0.0,0.00000
3,2020,Bhutan,0.0,0.0,0.00000
3,2020,Brunei,1.0,0.0,0.00000
3,2020,Cambodia,0.0,0.0,0.00000
3,2020,China,484.0,0.0,0.00000
3,2020,Georgia,0.0,0.0,0.00000
3,2020,Hong Kong,2.0,0.0,0.00000
3,2020,India,36.0,0.0,0.00000
3,2020,Indonesia,136.0,0.0,0.00000
3,2020,Iran,2855.0,0.0,0.00000
3,2020,Iraq,50.0,0.0,0.00000
3,2020,Israel,21.0,0.0,0.00000
3,2020,Japan,61.0,0.0,0.00000
3,2020,Jordan,5.0,0.0,0.00000
3,2020,Kazakhstan,2.0,0.0,0.00000
3,2020,Kuwait,0.0,0.0,0.00000
3,2020,Kyrgyzstan,0.0,0.0,0.00000
3,2020,Laos,0.0,0.0,0.00000
3,2020,Lebanon,12.0,0.0,0.00000
3,2020,Macao,0.0,0.0,0.00000
3,2020,Malaysia,48.0,0.0,0.00000
3,2020,Maldives,0.0,0.0,0.00000
3,2020,Mongolia,0.0,0.0,0.00000
3,2020,Myanmar,1.0,0.0,0.00000
3,2020,Nepal,0.0,0.0,0.00000
3,2020,Oman,1.0,0.0,0.00000
3,2020,Pakistan,27.0,0.0,0.00000
3,2020,Palestine,1.0,0.0,0.00000
3,2020,Philippines,89.0,0.0,0.00000
3,2020,Qatar,2.0,0.0,0.00000
3,2020,Saudi Arabia,10.0,0.0,0.00000
3,2020,Singapore,3.0,0.0,0.00000
3,2020,South Korea,146.0,0.0,0.00000
3,2020,Sri Lanka,2.0,0.0,0.00000
3,2020,Syria,2.0,0.0,0.00000
3,2020,Taiwan,4.0,0.0,0.00000
3,2020,Thailand,10.0,0.0,0.00000
3,2020,Timor,0.0,0.0,0.00000
3,2020,Turkey,214.0,0.0,0.00000
3,2020,United Arab Emirates,6.0,0.0,0.00000
3,2020,Uzbekistan,2.0,0.0,0.00000
3,2020,Vietnam,0.0,0.0,0.00000
3,2021,Afghanistan,41.0,0.0,0.00000
3,2021,Armenia,323.0,0.0,0.00000
3,2021,Azerbaijan,347.0,42090.0,0.00824
3,2021,Bahrain,72.0,259798.0,0.00028
3,2021,Bangladesh,638.0,70407.0,0.00906
3,2021,Bhutan,0.0,394765.0,0.00000
3,2021,Brunei,0.0,0.0,0.00000
3,2021,Cambodia,11.0,537265.0,0.00002
3,2021,China,8.0,39358000.0,0.00000
3,2021,Georgia,268.0,0.0,0.00000
3,2021,Hong Kong,6.0,484400.0,0.00001
3,2021,India,5770.0,50816630.0,0.00011
3,2021,Indonesia,4692.0,7330741.0,0.00064
3,2021,Iran,2592.0,0.0,0.00000
3,2021,Iraq,917.0,0.0,0.00000
3,2021,Israel,461.0,1939514.0,0.00024
3,2021,Japan,1279.0,745238.0,0.00172
3,2021,Jordan,2157.0,0.0,0.00000
3,2021,Kazakhstan,2523.0,0.0,0.00000
3,2021,Kuwait,230.0,0.0,0.00000
3,2021,Kyrgyzstan,34.0,0.0,0.00000
3,2021,Laos,0.0,0.0,0.00000
3,2021,Lebanon,1542.0,166856.0,0.00924
3,2021,Macao,0.0,36591.0,0.00000
3,2021,Malaysia,137.0,688781.0,0.00020
3,2021,Maldives,5.0,126301.0,0.00004
3,2021,Mongolia,6.0,243134.0,0.00002
3,2021,Myanmar,7.0,0.0,0.00000
3,2021,Nepal,256.0,0.0,0.00000
3,2021,North Korea,0.0,0.0,0.00000
3,2021,Northern Cyprus,0.0,0.0,0.00000
3,2021,Oman,108.0,3650.0,0.02959
3,2021,Pakistan,1634.0,0.0,0.00000
3,2021,Palestine,585.0,5124.0,0.11417
3,2021,Philippines,979.0,145741.0,0.00672
3,2021,Qatar,33.0,221871.0,0.00015
3,2021,Saudi Arabia,175.0,3299643.0,0.00005
3,2021,Singapore,1.0,888060.0,0.00000
3,2021,South Korea,130.0,899942.0,0.00014
3,2021,Sri Lanka,104.0,401060.0,0.00026
3,2021,Syria,238.0,0.0,0.00000
3,2021,Taiwan,1.0,14400.0,0.00007
3,2021,Tajikistan,0.0,0.0,0.00000
3,2021,Thailand,11.0,6943.0,0.00158
3,2021,Timor,0.0,0.0,0.00000
3,2021,Turkey,2968.0,6990311.0,0.00042
3,2021,Turkmenistan,0.0,0.0,0.00000
3,2021,United Arab Emirates,276.0,2288008.0,0.00012
3,2021,Uzbekistan,7.0,0.0,0.00000
3,2021,Vietnam,0.0,49743.0,0.00000
3,2021,Yemen,254.0,0.0,0.00000
3,2022,Afghanistan,72.0,0.0,0.00000
3,2022,Armenia,152.0,0.0,0.00000
3,2022,Azerbaijan,275.0,296571.0,0.00093
3,2022,Bahrain,17.0,0.0,0.00000
3,2022,Bangladesh,85.0,30821308.0,0.00000
3,2022,Bhutan,4.0,0.0,0.00000
3,2022,Brunei,83.0,0.0,0.00000
3,2022,Cambodia,22.0,1294325.0,0.00002
3,2022,China,13.0,141029000.0,0.00000
3,2022,Georgia,582.0,32214.0,0.01807
3,2022,Hong Kong,7081.0,2013689.0,0.00352
3,2022,India,7158.0,66768398.0,0.00011
3,2022,Indonesia,6754.0,23193705.0,0.00029
3,2022,Iran,3366.0,2724766.0,0.00124
3,2022,Iraq,175.0,0.0,0.00000
3,2022,Israel,287.0,52323.0,0.00549
3,2022,Japan,4454.0,26676506.0,0.00017
3,2022,Jordan,196.0,0.0,0.00000
3,2022,Kazakhstan,74.0,34367.0,0.00215
3,2022,Kuwait,16.0,0.0,0.00000
3,2022,Kyrgyzstan,30.0,162076.0,0.00019
3,2022,Laos,45.0,86393.0,0.00052
3,2022,Lebanon,212.0,88827.0,0.00239
3,2022,Macao,0.0,92737.0,0.00000
3,2022,Malaysia,2234.0,1682632.0,0.00133
3,2022,Maldives,1.0,9175.0,0.00011
3,2022,Mongolia,12.0,4471.0,0.00268
3,2022,Myanmar,62.0,0.0,0.00000
3,2022,Nepal,15.0,1880913.0,0.00001
3,2022,North Korea,0.0,0.0,0.00000
3,2022,Northern Cyprus,0.0,0.0,0.00000
3,2022,Oman,6.0,0.0,0.00000
3,2022,Pakistan,163.0,2802808.0,0.00006
3,2022,Palestine,154.0,0.0,0.00000
3,2022,Philippines,2798.0,0.0,0.00000
3,2022,Qatar,7.0,202025.0,0.00003
3,2022,Saudi Arabia,47.0,0.0,0.00000
3,2022,Singapore,249.0,327517.0,0.00076
3,2022,South Korea,8420.0,1686213.0,0.00499
3,2022,Sri Lanka,255.0,758833.0,0.00034
3,2022,Syria,66.0,0.0,0.00000
3,2022,Taiwan,0.0,1968308.0,0.00000
3,2022,Tajikistan,0.0,0.0,0.00000
3,2022,Thailand,2197.0,5708050.0,0.00038
3,2022,Timor,2.0,0.0,0.00000
3,2022,Turkey,3588.0,1363751.0,0.00263
3,2022,Turkmenistan,0.0,0.0,0.00000
3,2022,United Arab Emirates,1.0,44557.0,0.00002
3,2022,Uzbekistan,2.0,0.0,0.00000
3,2022,Vietnam,2241.0,4634588.0,0.00048
3,2022,Yemen,8.0,0.0,0.00000
4,2020,Afghanistan,56.0,0.0,0.00000
4,2020,Armenia,29.0,0.0,0.00000
4,2020,Azerbaijan,19.0,0.0,0.00000
4,2020,Bahrain,4.0,0.0,0.00000
4,2020,Bangladesh,163.0,0.0,0.00000
4,2020,Bhutan,0.0,0.0,0.00000
4,2020,Brunei,0.0,0.0,0.00000
4,2020,Cambodia,0.0,0.0,0.00000
4,2020,China,79.0,0.0,0.00000
4,2020,Georgia,6.0,0.0,0.00000
4,2020,Hong Kong,0.0,0.0,0.00000
4,2020,India,1119.0,0.0,0.00000
4,2020,Indonesia,656.0,0.0,0.00000
4,2020,Iran,3130.0,0.0,0.00000
4,2020,Iraq,43.0,0.0,0.00000
4,2020,Israel,204.0,0.0,0.00000
4,2020,Japan,414.0,0.0,0.00000
4,2020,Jordan,3.0,0.0,0.00000
4,2020,Kazakhstan,23.0,0.0,0.00000
4,2020,Kuwait,26.0,0.0,0.00000
4,2020,Kyrgyzstan,8.0,0.0,0.00000
4,2020,Laos,0.0,0.0,0.00000
4,2020,Lebanon,12.0,0.0,0.00000
4,2020,Macao,0.0,0.0,0.00000
4,2020,Malaysia,55.0,0.0,0.00000
4,2020,Maldives,1.0,0.0,0.00000
4,2020,Mongolia,0.0,0.0,0.00000
4,2020,Myanmar,5.0,0.0,0.00000
4,2020,Nepal,0.0,0.0,0.00000
4,2020,North Korea,0.0,0.0,0.00000
4,2020,Oman,10.0,0.0,0.00000
4,2020,Pakistan,390.0,0.0,0.00000
4,2020,Palestine,1.0,0.0,0.00000
4,2020,Philippines,480.0,0.0,0.00000
4,2020,Qatar,8.0,0.0,0.00000
4,2020,Saudi Arabia,152.0,0.0,0.00000
4,2020,Singapore,12.0,0.0,0.00000
4,2020,South Korea,86.0,0.0,0.00000
4,2020,Sri Lanka,5.0,0.0,0.00000
4,2020,Syria,1.0,0.0,0.00000
4,2020,Taiwan,1.0,0.0,0.00000
4,2020,Thailand,44.0,0.0,0.00000
4,2020,Timor,0.0,0.0,0.00000
4,2020,Turkey,2960.0,0.0,0.00000
4,2020,United Arab Emirates,99.0,0.0,0.00000
4,2020,Uzbekistan,7.0,0.0,0.00000
